Fecha;Área;Meta mensual;Meta al corte;Real del día;Acum real;% Avance Meta;Días del mes;Día del mes;Días restantes;Acum real hasta ayer;Ritmo requerido hoy;Brecha del día;Brecha acumulada;Promedio diario real;Proyección fin de mes;Gap vs Meta al cierre;% al corte;Semáforo al corte;Semáforo diario;% Crec. vs ayer
1/4/2026;Etiquetado;2,350,735;78,358;58,059;58,059;2.5%;30;1;30;0;78,358;-20,299;-20,299;58,059;1,741,770;-608,965;74.1%;🔴 No cumple;🔴 Bajo hoy;0.0%
1/4/2026;Distribución;3,143,818;104,794;93,510;93,510;3.0%;30;1;30;0;104,794;-11,284;-11,284;93,510;2,805,300;-338,518;89.2%;🔴 No cumple;🔴 Bajo hoy;0.0%
1/4/2026;Segunda;103,667;3,456;4,186;4,186;4.0%;30;1;30;0;3,456;730;730;4,186;125,580;21,913;121.1%;✅ Cumplido;✅ Cumple hoy;0.0%
1/4/2026;Despacho;3,350,416;111,681;75,772;75,772;2.3%;30;1;30;0;111,681;-35,909;-35,909;75,772;2,273,160;-1,077,256;67.8%;🔴 No cumple;🔴 Bajo hoy;0.0%
1/4/2026;Ventas;2,593,172;86,439;97,633;97,633;3.8%;30;1;30;0;86,439;11,194;11,194;97,633;2,928,990;335,818;113.0%;✅ Cumplido;✅ Cumple hoy;0.0%
2/4/2026;Etiquetado;2,350,735;156,716;77,764;135,823;5.8%;30;2;29;58,059;79,058;-1,294;-20,893;67,912;2,037,345;-313,390;86.7%;🔴 No cumple;🔴 Bajo hoy;33.9%
2/4/2026;Distribución;3,143,818;209,588;90,072;183,582;5.8%;30;2;29;93,510;105,183;-15,111;-26,006;91,791;2,753,730;-390,088;87.6%;🔴 No cumple;🔴 Bajo hoy;-3.7%
2/4/2026;Segunda;103,667;6,911;4,567;8,753;8.4%;30;2;29;4,186;3,430;1,137;1,842;4,377;131,295;27,628;126.7%;✅ Cumplido;✅ Cumple hoy;9.1%
2/4/2026;Despacho;3,350,416;223,361;56,458;132,230;3.9%;30;2;29;75,772;112,919;-56,461;-91,131;66,115;1,983,450;-1,366,966;59.2%;🔴 No cumple;🔴 Bajo hoy;-25.5%
2/4/2026;Ventas;2,593,172;172,878;62,679;160,312;6.2%;30;2;29;97,633;86,053;-23,374;-12,566;80,156;2,404,680;-188,492;92.7%;🔴 No cumple;🔴 Bajo hoy;-35.8%
