No_;Tienda;Document No_;Item No_;Nombre Item;Descripción Item Ajuste;Posting Date;Cantidad;Importe Costo;Tipo;Observacion;Creado Por;SEMANA;DIVISION;TIPO DE AJUSTE;AÑO;AJUSTES;Departamento
CDI01;MEGABODEGA AEC;AJSOBRFAL-010280;C172442;RELOJ P/HOMBRE FAJITA;RELOJ P/HOMBRE FAJITAproducto sin saldo en acta de dañado Wendy D;6/4/2026 00:00;1;38.19;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN DEVOLUCIONES ( DAÑADO Y REGALIA );AECDOMINIO\AUXILIAR1.INVENTARIO;15;ACCESORIOS;SOBRANTE-FALTANTE;2026;1;DEVOLUCIONES
CDI01;MEGABODEGA AEC;AJSOBRFAL-010281;C204521;PIJAMA P/DAMA BLUSA M/C+PANTALON;PIJAMA P/DAMA BLUSA M/C+PANTALON faltante solicitado por recepcion (Ever O)(sobran. en otro conten.);6/4/2026 00:00;-24;-1866.19;NEG;AJUSTE DE SALIDA DE PRODUCTO QUE SOBRO EN EL CONTENEDOR( FVS2026-50 Y FALTANTE EN FVS202-52)(DEPTO.AJUSTES Y RECLAMOS);AECDOMINIO\AUXILIAR4.INVENTARIO;15;ROPA;SOBRANTE-FALTANTE;2026;1;AJUSTES Y RECLAMOS
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;432731;SOMBRERO P/DAMA PLAYERO;SOMBRERO P/DAMA PLAYERO entrada producto sin saldo cdi (denis g);7/4/2026 00:00;1;50.32;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;1;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C033522;SOMBRERO P/DAMA PLAYA;SOMBRERO P/DAMA PLAYA entrada producto sin saldo cdi (denis g);7/4/2026 00:00;1;57.93;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C050754;SOMBRERO P/DAMA PLAYERO;SOMBRERO P/DAMA PLAYERO entrada producto sin saldo cdi (denis g);7/4/2026 00:00;1;36.56;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C092445;SOMBRERO P/NIÑA;SOMBRERO P/NIÑA entrada producto sin saldo cdi (denis g);7/4/2026 00:00;2;145.82;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C092446;SOMBRERO P/NIÑA;SOMBRERO P/NIÑA entrada producto sin saldo cdi (denis g);7/4/2026 00:00;2;92.77;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C128252;SOMBRERO P/DAMA PLAYERO;SOMBRERO P/DAMA PLAYERO entrada producto sin saldo cdi (denis g);7/4/2026 00:00;1;50.6;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C128254;SOMBRERO P/DAMA PLAYERO;SOMBRERO P/DAMA PLAYERO entrada producto sin saldo cdi (denis g);7/4/2026 00:00;3;144.64;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
CDI01;MEGABODEGA AEC;AJSOBRFAL-010282;C128255;SOMBRERO P/DAMA PLAYERO;SOMBRERO P/DAMA  entrada producto sin saldo cdi (denis g);7/4/2026 00:00;3;151.8;POS;AJUSTE DE ENTRADA DE PRODUCTOS SIN SALDO EN CDI  (QUE REALIZO SALIDA EN TOMA DE INV.SELECTIVO);AECDOMINIO\AUXILIAR3.INVENTARIO;15;VERANO;SOBRANTE-FALTANTE;2026;0;INVENTARIO FISICO (SIN SALDO)
