FECHA;PRODUCCION;META/TIEMPO;ÁREA;SEMANA;MES;DIVISION2;AÑO
30/4/2026;240;166.44;PRODUCCION;SEM 18;ABRIL; HOGAR ;2026
30/4/2026;96;142.22;PRODUCCION;SEM 18;ABRIL; HOGAR ;2026
26/4/2026;360;223.89;PRODUCCION;SEM 18;ABRIL; CUIDADO PERSONAL ;2026
26/4/2026;600;722.22;PRODUCCION;SEM 18;ABRIL; CUIDADO PERSONAL ;2026
26/4/2026;480;570.56;PRODUCCION;SEM 18;ABRIL; CUIDADO PERSONAL ;2026
25/4/2026;96;64.81;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
25/4/2026;120;94.44;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
25/4/2026;60;50;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
25/4/2026;60;53.7;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
25/4/2026;36;29.63;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
25/4/2026;36;24.07;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
25/4/2026;32;38.89;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
25/4/2026;25;29.63;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
22/4/2026;120;185.19;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
22/4/2026;320;346.3;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
22/4/2026;200;233.33;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
22/4/2026;200;179.63;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
21/4/2026;177;183.7;PRODUCCION;SEM 17;ABRIL; ACCESORIOS ;2026
21/4/2026;84;149.63;PRODUCCION;SEM 17;ABRIL; ACCESORIOS ;2026
21/4/2026;120;120;PRODUCCION;SEM 17;ABRIL; ACCESORIOS ;2026
21/4/2026;82;41.48;PRODUCCION;SEM 17;ABRIL; ACCESORIOS ;2026
21/4/2026;60;62.96;PRODUCCION;SEM 17;ABRIL; ACCESORIOS ;2026
20/4/2026;444;455;PRODUCCION;SEM 17;ABRIL; CUIDADO PERSONAL ;2026
20/4/2026;480;462.22;PRODUCCION;SEM 17;ABRIL; CUIDADO PERSONAL ;2026
20/4/2026;300;216.67;PRODUCCION;SEM 17;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;32;15.56;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
16/4/2026;120;116.67;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
16/4/2026;120;113.56;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
16/4/2026;120;133.33;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
16/4/2026;160;203.7;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
14/4/2026;60;225.93;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
14/4/2026;240;283.33;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
14/4/2026;360;222.22;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
14/4/2026;360;240.74;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
13/4/2026;120;93.33;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
13/4/2026;360;166.67;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
13/4/2026;252;186.67;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
13/4/2026;360;222.22;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
13/4/2026;360;240.74;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
11/4/2026;90;124.67;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
11/4/2026;450;328.67;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
9/4/2026;240;181.33;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
9/4/2026;114;117.11;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
9/4/2026;240;268.22;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
9/4/2026;600;698.89;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
9/4/2026;300;313.56;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
9/4/2026;360;423.11;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
8/4/2026;90;97.78;PRODUCCION;SEM 15;ABRIL; ACCESORIOS ;2026
8/4/2026;120;109.63;PRODUCCION;SEM 15;ABRIL; ACCESORIOS ;2026
8/4/2026;360;414.81;PRODUCCION;SEM 15;ABRIL; ACCESORIOS ;2026
8/4/2026;360;548.15;PRODUCCION;SEM 15;ABRIL; ACCESORIOS ;2026
7/4/2026;432;319.44;PRODUCCION;SEM 15;ABRIL; CUIDADO PERSONAL ;2026
7/4/2026;432;375;PRODUCCION;SEM 15;ABRIL; CUIDADO PERSONAL ;2026
7/4/2026;360;577.78;PRODUCCION;SEM 15;ABRIL; CUIDADO PERSONAL ;2026
7/4/2026;600;787.22;PRODUCCION;SEM 15;ABRIL; CUIDADO PERSONAL ;2026
7/4/2026;360;375.56;PRODUCCION;SEM 15;ABRIL; CUIDADO PERSONAL ;2026
7/4/2026;360;339.44;PRODUCCION;SEM 15;ABRIL; CUIDADO PERSONAL ;2026
7/4/2026;576;472.22;PRODUCCION;SEM 15;ABRIL; CUIDADO PERSONAL ;2026
6/4/2026;300;250;PRODUCCION;SEM 15;ABRIL; DEPORTIVA ;2026
6/4/2026;300;191.67;PRODUCCION;SEM 15;ABRIL; DEPORTIVA ;2026
6/4/2026;300;225;PRODUCCION;SEM 15;ABRIL; DEPORTIVA ;2026
6/4/2026;500;369.44;PRODUCCION;SEM 15;ABRIL; DEPORTIVA ;2026
6/4/2026;500;352.78;PRODUCCION;SEM 15;ABRIL; DEPORTIVA ;2026
1/4/2026;72;43.33;PRODUCCION;SEM 14;ABRIL; JUGUETERIA ;2026
1/4/2026;96;91.48;PRODUCCION;SEM 14;ABRIL; JUGUETERIA ;2026
1/4/2026;400;144.44;PRODUCCION;SEM 14;ABRIL; DEPORTIVA ;2026
1/4/2026;400;161.11;PRODUCCION;SEM 14;ABRIL; DEPORTIVA ;2026
1/4/2026;120;115.56;PRODUCCION;SEM 14;ABRIL; JUGUETERIA ;2026
1/4/2026;120;149.26;PRODUCCION;SEM 14;ABRIL; JUGUETERIA ;2026
1/4/2026;144;110.74;PRODUCCION;SEM 14;ABRIL; JUGUETERIA ;2026
1/4/2026;144;216.67;PRODUCCION;SEM 14;ABRIL; JUGUETERIA ;2026
1/4/2026;120;192.59;PRODUCCION;SEM 14;ABRIL; JUGUETERIA ;2026
1/4/2026;240;182.96;PRODUCCION;SEM 14;ABRIL; JUGUETERIA ;2026
1/4/2026;240;298.52;PRODUCCION;SEM 14;ABRIL; JUGUETERIA ;2026
1/4/2026;120;48.15;PRODUCCION;SEM 14;ABRIL; JUGUETERIA ;2026
1/4/2026;48;57.78;PRODUCCION;SEM 14;ABRIL; JUGUETERIA ;2026
1/4/2026;192;144.44;PRODUCCION;SEM 14;ABRIL; JUGUETERIA ;2026
1/4/2026;240;288.89;PRODUCCION;SEM 14;ABRIL; JUGUETERIA ;2026
1/4/2026;72;96.3;PRODUCCION;SEM 14;ABRIL; JUGUETERIA ;2026
28/4/2026;147;715;PRODUCCION;SEM 18;ABRIL; HOGAR ;2026
28/4/2026;384;281.67;PRODUCCION;SEM 18;ABRIL; CALZADO ;2026
28/4/2026;288;353.89;PRODUCCION;SEM 18;ABRIL; CUIDADO PERSONAL ;2026
28/4/2026;264;281.67;PRODUCCION;SEM 18;ABRIL; CUIDADO PERSONAL ;2026
28/4/2026;624;1,047.22;PRODUCCION;SEM 18;ABRIL; CUIDADO PERSONAL ;2026
26/4/2026;288;462.96;PRODUCCION;SEM 18;ABRIL; CUIDADO PERSONAL ;2026
26/4/2026;720;592.59;PRODUCCION;SEM 18;ABRIL; CUIDADO PERSONAL ;2026
26/4/2026;719;611.11;PRODUCCION;SEM 18;ABRIL; CUIDADO PERSONAL ;2026
18/4/2026;24;82.44;PRODUCCION;SEM 16;ABRIL; ROPA ;2026
17/4/2026;48;70.37;PRODUCCION;SEM 16;ABRIL; ROPA ;2026
17/4/2026;48;66.67;PRODUCCION;SEM 16;ABRIL; ROPA ;2026
17/4/2026;48;122.22;PRODUCCION;SEM 16;ABRIL; ROPA ;2026
17/4/2026;48;48.15;PRODUCCION;SEM 16;ABRIL; ROPA ;2026
17/4/2026;48;81.48;PRODUCCION;SEM 16;ABRIL; ROPA ;2026
17/4/2026;48;55.56;PRODUCCION;SEM 16;ABRIL; ROPA ;2026
17/4/2026;48;44.44;PRODUCCION;SEM 16;ABRIL; ROPA ;2026
17/4/2026;37;66.67;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
17/4/2026;37;22.22;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
17/4/2026;37;22.22;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
17/4/2026;37;22.22;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
17/4/2026;37;18.52;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
17/4/2026;28;38.89;PRODUCCION;SEM 16;ABRIL; JUGUETERIA ;2026
17/4/2026;36;45.37;PRODUCCION;SEM 16;ABRIL; JUGUETERIA ;2026
17/4/2026;56;116.67;PRODUCCION;SEM 16;ABRIL; JUGUETERIA ;2026
16/4/2026;192;208.33;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;192;185.19;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;192;263.89;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;144;125;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;144;166.67;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;191;223.89;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;96;144.44;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;480;546.3;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;600;512.78;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;18;7.41;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
16/4/2026;18;11.11;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
