FECHA AUDITADO;CANTIDAD;SEMANA;META TIEMPO;MES;DIVISION2;AÑO
25/4/2026;204;SEM 17;325.93;ABRIL;INTERIOR DETALLE;2026
25/4/2026;276;SEM 17;237.04;ABRIL;INTERIOR DETALLE;2026
25/4/2026;232;SEM 17;237.04;ABRIL;INTERIOR DETALLE;2026
25/4/2026;340;SEM 17;296.3;ABRIL;INTERIOR DETALLE;2026
25/4/2026;408;SEM 17;414.81;ABRIL;INTERIOR DETALLE;2026
25/4/2026;534;SEM 17;325.93;ABRIL;INTERIOR DETALLE;2026
25/4/2026;563;SEM 17;562.96;ABRIL;INTERIOR DETALLE;2026
25/4/2026;743;SEM 17;711.11;ABRIL;INTERIOR DETALLE;2026
25/4/2026;505;SEM 17;355.56;ABRIL;INTERIOR DETALLE;2026
25/4/2026;505;SEM 17;592.59;ABRIL;INTERIOR DETALLE;2026
25/4/2026;504;SEM 17;296.3;ABRIL;INTERIOR DETALLE;2026
25/4/2026;667;SEM 17;829.63;ABRIL;INTERIOR DETALLE;2026
25/4/2026;499;SEM 17;592.59;ABRIL;INTERIOR DETALLE;2026
25/4/2026;216;SEM 17;177.78;ABRIL;INTERIOR DETALLE;2026
25/4/2026;205;SEM 17;177.78;ABRIL;INTERIOR DETALLE;2026
25/4/2026;588;SEM 17;237.04;ABRIL;INTERIOR DETALLE;2026
25/4/2026;448;SEM 17;414.81;ABRIL;INTERIOR DETALLE;2026
25/4/2026;468;SEM 17;414.81;ABRIL;INTERIOR DETALLE;2026
25/4/2026;300;SEM 17;207.41;ABRIL;INTERIOR DETALLE;2026
25/4/2026;660;SEM 17;325.93;ABRIL;INTERIOR DETALLE;2026
25/4/2026;444;SEM 17;385.19;ABRIL;INTERIOR DETALLE;2026
25/4/2026;336;SEM 17;207.41;ABRIL;INTERIOR DETALLE;2026
25/4/2026;360;SEM 17;148.15;ABRIL;INTERIOR DETALLE;2026
25/4/2026;279;SEM 17;177.78;ABRIL;INTERIOR DETALLE;2026
25/4/2026;708;SEM 17;708;ABRIL;ACCESORIOS;2026
25/4/2026;600;SEM 17;600;ABRIL;ACCESORIOS;2026
25/4/2026;300;SEM 17;266.67;ABRIL;INTERIOR DETALLE;2026
25/4/2026;305;SEM 17;402.96;ABRIL;INTERIOR DETALLE;2026
25/4/2026;466;SEM 17;444.44;ABRIL;INTERIOR DETALLE;2026
25/4/2026;726;SEM 17;634.07;ABRIL;INTERIOR DETALLE;2026
25/4/2026;420;SEM 17;444.44;ABRIL;INTERIOR DETALLE;2026
25/4/2026;516;SEM 17;296.3;ABRIL;INTERIOR DETALLE;2026
25/4/2026;601;SEM 17;622.22;ABRIL;INTERIOR DETALLE;2026
25/4/2026;96;SEM 17;131.67;ABRIL;CALZADO PLASTICO;2026
25/4/2026;607;SEM 17;607;ABRIL;ACCESORIOS;2026
25/4/2026;539;SEM 17;539;ABRIL;ACCESORIOS;2026
24/4/2026;510;SEM 17;444.44;ABRIL;INTERIOR DETALLE;2026
24/4/2026;432;SEM 17;432.59;ABRIL;INTERIOR DETALLE;2026
24/4/2026;546;SEM 17;545.19;ABRIL;INTERIOR DETALLE;2026
24/4/2026;450;SEM 17;325.93;ABRIL;INTERIOR DETALLE;2026
24/4/2026;678;SEM 17;651.85;ABRIL;INTERIOR DETALLE;2026
24/4/2026;612;SEM 17;592.59;ABRIL;INTERIOR DETALLE;2026
24/4/2026;756;SEM 17;722.96;ABRIL;INTERIOR DETALLE;2026
24/4/2026;130;SEM 17;165.93;ABRIL;INTERIOR DETALLE;2026
24/4/2026;505;SEM 17;385.19;ABRIL;INTERIOR DETALLE;2026
24/4/2026;252;SEM 17;385.19;ABRIL;INTERIOR DETALLE;2026
24/4/2026;424;SEM 17;284.44;ABRIL;INTERIOR DETALLE;2026
24/4/2026;420;SEM 17;485.93;ABRIL;INTERIOR DETALLE;2026
24/4/2026;758;SEM 17;592.59;ABRIL;INTERIOR DETALLE;2026
24/4/2026;59;SEM 17;65;ABRIL;CALZADO PLASTICO;2026
24/4/2026;126;SEM 17;108.33;ABRIL;CALZADO PLASTICO;2026
24/4/2026;132;SEM 17;76.67;ABRIL;CALZADO PLASTICO;2026
24/4/2026;132;SEM 17;133.33;ABRIL;CALZADO PLASTICO;2026
24/4/2026;145;SEM 17;183.33;ABRIL;CALZADO PLASTICO;2026
24/4/2026;477;SEM 17;284.44;ABRIL;INTERIOR DETALLE;2026
24/4/2026;520;SEM 17;379.26;ABRIL;INTERIOR DETALLE;2026
24/4/2026;84;SEM 17;91.67;ABRIL;CALZADO PLASTICO;2026
24/4/2026;84;SEM 17;58.33;ABRIL;CALZADO PLASTICO;2026
24/4/2026;120;SEM 17;100;ABRIL;CALZADO PLASTICO;2026
24/4/2026;126;SEM 17;91.67;ABRIL;CALZADO PLASTICO;2026
24/4/2026;66;SEM 17;50;ABRIL;CALZADO PLASTICO;2026
24/4/2026;324;SEM 17;324;ABRIL;ACCESORIOS;2026
24/4/2026;60;SEM 17;46.67;ABRIL;CALZADO PLASTICO;2026
24/4/2026;132;SEM 17;48.33;ABRIL;CALZADO PLASTICO;2026
24/4/2026;120;SEM 17;101.67;ABRIL;CALZADO PLASTICO;2026
24/4/2026;102;SEM 17;83.33;ABRIL;CALZADO PLASTICO;2026
24/4/2026;114;SEM 17;101.67;ABRIL;CALZADO PLASTICO;2026
24/4/2026;597;SEM 17;597;ABRIL;ACCESORIOS;2026
24/4/2026;469;SEM 17;469;ABRIL;ACCESORIOS;2026
24/4/2026;579;SEM 17;579;ABRIL;ACCESORIOS;2026
24/4/2026;703;SEM 17;703;ABRIL;ACCESORIOS;2026
24/4/2026;693;SEM 17;693;ABRIL;ACCESORIOS;2026
24/4/2026;615;SEM 17;615;ABRIL;ACCESORIOS;2026
24/4/2026;53;SEM 17;53;ABRIL;ACCESORIOS;2026
24/4/2026;306;SEM 17;58.33;ABRIL;CALZADO PLASTICO;2026
24/4/2026;96;SEM 17;66.67;ABRIL;CALZADO PLASTICO;2026
24/4/2026;126;SEM 17;100;ABRIL;CALZADO PLASTICO;2026
24/4/2026;162;SEM 17;113.33;ABRIL;CALZADO PLASTICO;2026
24/4/2026;75;SEM 17;75;ABRIL;ACCESORIOS;2026
24/4/2026;312;SEM 17;89.44;ABRIL;CELEBRACIONES;2026
24/4/2026;324;SEM 17;106.48;ABRIL;CELEBRACIONES;2026
24/4/2026;81;SEM 17;81;ABRIL;ACCESORIOS;2026
24/4/2026;60;SEM 17;60;ABRIL;HOGAR;2026
24/4/2026;60;SEM 17;60;ABRIL;HOGAR;2026
24/4/2026;60;SEM 17;60;ABRIL;HOGAR;2026
