SEMANA RECIBIDO;FECHA RECIBIDO;APLICADO;ORIGEN;MOTIVO;TIPO DE ERROR; UNIDAD ERROR;BULTOS;UNIDADES;COSTO TOTAL
SEM-14;1/4/2026;APLICADO;ENTRADA COPAN-AEC;DAÑADO;;0;1;4;L475.15
SEM-14;1/4/2026;APLICADO;ENTRADA COPAN-AEC;UNIDADES;;0;1;5;L965.00
SEM-14;1/4/2026;APLICADO;PROGRESO #1-AEC;DAÑADO;;0;1;2;L326.79
SEM-14;1/4/2026;APLICADO;PROGRESO #1-AEC;EXCESO;;0;9;739;L15,472.14
SEM-14;1/4/2026;APLICADO;PROGRESO #1-AEC;EXCESO;SOBRANTE ;7;2;957;L10,897.71
SEM-14;1/4/2026;APLICADO;PROGRESO #1-AEC;UNIDADES;;0;2;64;L10,296.17
SEM-14;2/4/2026;APLICADO;MAYOREO MEGACARPA-AEC;UNIDADES;;0;1;15;L2,760.38
SEM-14;2/4/2026;APLICADO;OLANCHITO-AEC;DAÑADO;;0;1;13;L318.60
SEM-14;2/4/2026;APLICADO;TEGUCIGALPA AEC;DAÑADO;;0;1;5;L296.25
SEM-14;2/4/2026;APLICADO;TEGUCIGALPA AEC;UNIDADES;;0;3;171;L12,753.56
SEM-15;6/4/2026;SIN APLICAR;EL PARAISO AEC;DAÑADO;;0;1;11;L1,056.00
SEM-15;6/4/2026;SIN APLICAR;MAYOREO SPS-AEC;POCA ROTACION;;0;1;15;L4,087.36
SEM-15;6/4/2026;SIN APLICAR;MEGATIENDA-AEC;UNIDADES;;0;1;1;L90.41
SEM-15;6/4/2026;APLICADO;COMAYAGUA-AEC;UNIDADES;;0;3;76;L12,599.01
SEM-15;6/4/2026;APLICADO;EL PARAISO AEC;UNIDADES;;0;6;53;L9,152.83
SEM-15;6/4/2026;APLICADO;GRACIAS  #1-AEC;UNIDADES;;0;1;13;L1,565.15
SEM-15;6/4/2026;APLICADO;MARCALA-AEC;UNIDADES;;0;3;53;L8,955.00
SEM-15;6/4/2026;APLICADO;MAYOREO SPS-AEC;POCA ROTACION;;0;6;138;L15,590.65
SEM-15;6/4/2026;APLICADO;MEGATIENDA-AEC;DAÑADO;;0;1;3;L408.13
SEM-15;6/4/2026;APLICADO;MEGATIENDA-AEC;DAÑADO;SOBRANTE ;1;1;30;L1,725.91
SEM-15;6/4/2026;APLICADO;MEGATIENDA-AEC;UNIDADES;;0;1;46;L7,203.86
SEM-15;6/4/2026;APLICADO;OLANCHITO-AEC;DAÑADO;;0;1;88;L3,193.41
SEM-15;6/4/2026;APLICADO;PROGRESO #1-AEC;UNIDADES;;0;1;5;L266.86
SEM-15;6/4/2026;APLICADO;PUERTO CORTES-AEC;DAÑADO;;0;2;97;L2,966.01
SEM-15;6/4/2026;APLICADO;SAN JUAN-AEC;EXCESO;;0;11;726;L125,953.09
SEM-15;6/4/2026;APLICADO;SAN JUAN-AEC;UNIDADES;;0;1;105;L17,084.68
SEM-15;6/4/2026;APLICADO;SAN PEDRO SULA-AEC;UNIDADES;;0;6;143;L22,196.27
SEM-15;6/4/2026;APLICADO;SIGUATEPEQUE-AEC;DAÑADO;;0;1;2;L30.17
SEM-15;6/4/2026;APLICADO;SONAGUERA-AEC;UNIDADES;;0;5;368;L35,409.83
SEM-15;6/4/2026;APLICADO;SPS TERMINAL-AEC;UNIDADES;;0;2;100;L16,327.05
SEM-15;6/4/2026;APLICADO;TALANGA AEC;UNIDADES;;0;1;97;L15,480.66
SEM-15;7/4/2026;APLICADO;COMAYAGUELA-AEC;UNIDADES;;0;11;529;L82,897.51
SEM-15;7/4/2026;APLICADO;COMAYAGUELA-AEC;UNIDADES;SOBRANTE ;4;4;375;L58,218.14
SEM-15;7/4/2026;APLICADO;DE TODO PARA TODOS;UNIDADES;;0;1;12;L1,843.40
SEM-15;7/4/2026;APLICADO;DE TODO PARA TODOS;UNIDADES;SOBRANTE ;1;1;38;L6,272.65
