SEMANA RECIBIDO;FECHA RECIBIDO;APLICADO;ORIGEN;MOTIVO;TIPO DE ERROR; UNIDAD ERROR;BULTOS;UNIDADES;COSTO TOTAL
14;2/4/2026;APLICADO;OLANCHITO-DS;DAÑADO;;0;2;31;L4,054.99
14;2/4/2026;APLICADO;YORO-DS;UNIDADES;;0;1;168;L3,558.22
15;6/4/2026;APLICADO;LA CEIBA-DS;DAÑADO;;0;1;6;L96.52
15;6/4/2026;APLICADO;LA VITRINA-SAN ESTEBAN;EXCESO;;0;1;108;L7,503.45
15;6/4/2026;APLICADO;LA VITRINA-SAN ESTEBAN;POCA ROTACION;;0;1;1;L591.30
15;6/4/2026;APLICADO;LA VITRINA-TRINIDAD;DAÑADO;;0;1;85;L9,810.99
15;7/4/2026;APLICADO;LA LIBERTAD-DS;UNIDADES;;0;1;33;L892.67
15;9/4/2026;APLICADO;CATACAMAS-DS;DAÑADO;;0;1;9;L1,000.01
15;9/4/2026;APLICADO;CUCUYAGUA-DS;DAÑADO;;0;2;6;L937.12
15;9/4/2026;APLICADO;LA CEIBA-DS;DAÑADO;;0;2;2;L542.82
15;9/4/2026;APLICADO;LA VITRINA-LA LABOR OCOTEPEQUE;DAÑADO;;0;1;21;L1,414.61
15;9/4/2026;APLICADO;LA VITRINA-LA LABOR OCOTEPEQUE;UNIDADES;;0;1;12;L356.13
15;9/4/2026;APLICADO;LA VITRINA-SABA;UNIDADES;;0;1;2;L1,062.75
15;9/4/2026;APLICADO;LA VITRINA-SAN ESTEBAN;DAÑADO;;0;6;67;L5,877.76
15;9/4/2026;APLICADO;LA VITRINA-SAN ESTEBAN;POCA ROTACION;;0;1;67;L4,430.89
15;9/4/2026;APLICADO;LA VITRINA-SAN ESTEBAN;UNIDADES;FALTANTE;1;1;38;L5,619.81
15;9/4/2026;APLICADO;LA VITRINA-SAN ESTEBAN;UNIDADES;;0;2;10;L1,640.10
15;9/4/2026;APLICADO;LEPAERA-DS;DAÑADO;;0;3;47;L1,862.47
15;9/4/2026;APLICADO;SAN FRANCISCO-DS;DAÑADO;;0;2;16;L519.85
15;9/4/2026;APLICADO;SAN FRANCISCO-DS;EXCESO;SOBRANTE;8;3;588;L54,301.58
15;9/4/2026;APLICADO;SAN FRANCISCO-DS;EXCESO;;0;8;410;L33,561.48
15;9/4/2026;APLICADO;SONAGUERA-DS;UNIDADES;;0;1;105;L3,590.45
15;10/4/2026;APLICADO;OLANCHITO-DS;DAÑADO;;0;9;79;L5,804.78
15;10/4/2026;APLICADO;SABA-DS;DAÑADO;;0;1;4;L205.98
15;11/4/2026;APLICADO;CAMPAMENTO OLANCHO-DS;DAÑADO;;0;3;26;L2,542.23
15;11/4/2026;APLICADO;GUAYMACA-DS;DAÑADO;;0;1;2;L1,505.29
15;11/4/2026;APLICADO;LA VITRINA-TALANGA;DAÑADO;;0;2;29;L2,247.92
16;12/4/2026;APLICADO;OLANCHITO-DS;DAÑADO;;0;2;6;L688.00
16;13/4/2026;APLICADO;EL NEGRITO, YORO-DS;UNIDADES;;0;1;6;L1,191.53
16;13/4/2026;APLICADO;RIO LINDO, LA VITRINA;UNIDADES;;0;1;4;L102.60
16;14/4/2026;APLICADO;LA VITRINA-SAN ESTEBAN;UNIDADES;FALTANTE;1;1;49;L4,819.30
16;14/4/2026;APLICADO;SAN FRANCISCO-DS;DAÑADO;;0;3;30;L3,542.44
16;14/4/2026;APLICADO;SAN FRANCISCO-DS;UNIDADES;SOBRANTE;7;5;265;L26,943.15
16;14/4/2026;APLICADO;SAN FRANCISCO-DS;UNIDADES;;0;8;201;L20,404.08
16;16/4/2026;APLICADO;LA LIBERTAD-DS;DAÑADO;;0;1;5;L554.16
16;17/4/2026;APLICADO;CAMPAMENTO OLANCHO-DS;DAÑADO;;0;3;31;L1,772.28
16;17/4/2026;APLICADO;GUAYMACA-DS;EXCESO;SOBRANTE;1;1;47;L5,945.03
16;17/4/2026;APLICADO;GUAYMACA-DS;EXCESO;;0;1;43;L5,428.16
16;17/4/2026;APLICADO;OLANCHITO-DS;DAÑADO;;0;1;7;L361.50
16;17/4/2026;APLICADO;SABA-DS;DAÑADO;;0;2;11;L2,044.52
16;17/4/2026;APLICADO;YORO-DS;UNIDADES;SOBRANTE;1;1;150;L9,543.91
16;17/4/2026;APLICADO;YORO-DS;UNIDADES;;0;4;252;L20,510.36
16;18/4/2026;APLICADO;LA LIBERTAD-DS;DAÑADO;;0;1;5;L445.47
17;19/4/2026;APLICADO;LA CEIBA-DS;DAÑADO;;0;2;4;L516.60
17;19/4/2026;APLICADO;LA VITRINA-EL PARAISO;EXCESO;SOBRANTE;1;1;55;L4,165.80
17;19/4/2026;APLICADO;LA VITRINA-EL PARAISO;EXCESO;;0;1;49;L3,760.85
17;19/4/2026;APLICADO;SONAGUERA-DS;UNIDADES;;0;2;223;L7,559.22
17;21/4/2026;APLICADO;CATACAMAS-DS;DAÑADO;;0;1;36;L3,029.76
17;21/4/2026;APLICADO;CUCUYAGUA-DS;DAÑADO;SOBRANTE;1;1;13;L1,248.00
17;21/4/2026;APLICADO;CUCUYAGUA-DS;DAÑADO;;0;1;3;L53.48
17;21/4/2026;APLICADO;LA CEIBA-DS;DAÑADO;;0;1;9;L439.41
17;21/4/2026;APLICADO;LA LIBERTAD-DS;UNIDADES;;0;1;5;L167.62
17;21/4/2026;APLICADO;LA VITRINA-LA LABOR OCOTEPEQUE;UNIDADES;;0;1;126;L10,538.61
17;21/4/2026;APLICADO;LA VITRINA-TRINIDAD;COBRO POR INV ;;0;11;651;L28,739.70
17;21/4/2026;APLICADO;OLANCHITO-DS;EXCESO;;0;1;111;L8,391.81
17;21/4/2026;APLICADO;SABA-DS;DAÑADO;;0;1;5;L838.38
17;21/4/2026;APLICADO;YORO-DS;COBRO POR INV ;;0;8;459;L21,832.10
17;23/4/2026;APLICADO;CAMPAMENTO OLANCHO-DS;DAÑADO;;0;3;7;L501.61
17;23/4/2026;APLICADO;GUAYMACA-DS;DAÑADO;;0;1;6;L853.18
17;24/4/2026;APLICADO;CATACAMAS-DS;UNIDADES;FALTANTE;1;1;328;L981.69
17;24/4/2026;APLICADO;CATACAMAS-DS;UNIDADES;SOBRANTE;1;1;100;L741.43
17;24/4/2026;APLICADO;CATACAMAS-DS;UNIDADES;;0;10;801;L19,156.68
17;24/4/2026;APLICADO;LA LIBERTAD-DS;DAÑADO;;0;1;11;L715.61
17;24/4/2026;APLICADO;LA VITRINA, TOCOA;UNIDADES;;0;1;59;L2,905.58
17;24/4/2026;APLICADO;OLANCHITO-DS;DAÑADO;;0;4;20;L2,299.50
17;24/4/2026;APLICADO;OLANCHITO-DS;UNIDADES;;0;1;9;L223.88
17;24/4/2026;APLICADO;SAN MARCOS OCOTEPEQUE, LA VITRINA;DAÑADO;;0;3;129;L2,950.50
17;25/4/2026;APLICADO;LA VITRINA-EL PARAISO;UNIDADES;SOBRANTE;3;3;318;L10,113.97
17;25/4/2026;APLICADO;LA VITRINA-EL PARAISO;UNIDADES;;0;3;325;L13,992.12
18;26/4/2026;APLICADO;LA VITRINA-TALANGA;EXCESO;;0;1;83;L6,147.14
18;26/4/2026;APLICADO;LA VITRINA-TALANGA;UNIDADES;;0;1;169;L8,533.64
18;27/4/2026;APLICADO;CAMPAMENTO OLANCHO-DS;DAÑADO;;0;1;3;L651.08
18;46139;APLICADO;CAMPAMENTO OLANCHO-DS;UNIDADES;FALTANTE;1;1;32;L1,913.79
18;46139;APLICADO;CAMPAMENTO OLANCHO-DS;UNIDADES;;0;3;199;11682.06
18;46139;APLICADO;CUCUYAGUA-DS;DAÑADO;;0;2;6;1488.2
18;46139;APLICADO;EL NEGRITO, YORO-DS;COBRO POR INV ;;0;9;245;15196.76
18;46139;APLICADO;LA CEIBA-DS;DAÑADO;;0;1;11;363.44
18;46139;APLICADO;LA CEIBA-DS;UNIDADES;;0;1;48;2328.55
18;46140;SIN APLICAR;LA VITRINA-EL PARAISO;UNIDADES;;0;1;20;1083.7
18;46140;SIN APLICAR;SAN MARCOS OCOTEPEQUE, LA VITRINA;UNIDADES;;0;1;90;5046.38
18;46140;APLICADO;LA VITRINA-EL PARAISO;UNIDADES;FALTANTE;1;1;126;3156.62
18;46140;APLICADO;LA VITRINA-EL PARAISO;UNIDADES;;0;2;55;1655.52
18;46140;APLICADO;LEPAERA-DS;DAÑADO;;0;1;23;1595.17
18;46140;APLICADO;SAN MARCOS OCOTEPEQUE, LA VITRINA;DAÑADO;;0;3;112;9150.62
18;46140;APLICADO;SAN MARCOS OCOTEPEQUE, LA VITRINA;EXCESO;;0;2;111;16069.12
18;46140;APLICADO;SAN MARCOS OCOTEPEQUE, LA VITRINA;UNIDADES;;0;2;33;3567.76
