SEMANA;Fecha;Tipo Transferencia;Origen;Destino;Division; BULTOS; UNIDADES; BULTOS; UNIDADES
14;1/4/2025;SEGUNDA;BODEGA DANILOS ;CAMPAMENTO OLANCHO-DS;DS HOGAR;;;1;175
14;1/4/2025;SEGUNDA;BODEGA DANILOS ;OLANCHITO-DS;DS HOGAR;;;3;303
14;1/4/2025;SEGUNDA;BODEGA DANILOS ;YORO-DS;DS ROPA;;;2;214
14;2/4/2025;SEGUNDA;BODEGA DANILOS ;LA CEIBA-DS;DS HOGAR;;;1;40
14;2/4/2025;SEGUNDA;BODEGA DANILOS ;LA CEIBA-DS;DS ROPA;;;2;595
14;2/4/2025;SEGUNDA;BODEGA DANILOS ;LEPAERA-DS;DS HOGAR;;;1;51
14;2/4/2025;SEGUNDA;BODEGA DANILOS ;OLANCHITO-DS;DS HOGAR;;;2;64
14;2/4/2025;SEGUNDA;BODEGA DANILOS ;SABA-DS;DS HOGAR;;;1;8
14;2/4/2025;SEGUNDA;BODEGA DANILOS ;SABA-DS;DS ROPA;;;1;268
14;2/4/2025;SEGUNDA;BODEGA DANILOS ;SAN FRANCISCO-DS;DS HOGAR;;;1;13
14;2/4/2025;SEGUNDA;BODEGA DANILOS ;YORO-DS;DS HOGAR;;;1;14
14;2/4/2025;SEGUNDA;BODEGA DANILOS ;YORO-DS;DS ROPA;;;3;530
14;3/4/2025;SEGUNDA;BODEGA DANILOS ;GRACIAS, LEMPIRA-DS;DS HOGAR;;;0;1
14;3/4/2025;SEGUNDA;BODEGA DANILOS ;GRACIAS, LEMPIRA-DS;DS INTERIOR;;;1;12
14;3/4/2025;SEGUNDA;BODEGA DANILOS ;GRACIAS, LEMPIRA-DS;DS ROPA;;;1;192
14;3/4/2025;SEGUNDA;BODEGA DANILOS ;GRACIAS, LEMPIRA-DS;DS VERANO;;;0;1
14;3/4/2025;SEGUNDA;BODEGA DANILOS ;LA CEIBA-DS;DS ACCESORIOS;;;0;2
14;3/4/2025;SEGUNDA;BODEGA DANILOS ;LA CEIBA-DS;DS HOGAR;;;0;3
