SEMANA,FECHA,CODIGO,DESCRIPCION,UNIDADES,PROVEEDOR,COSTO IMP,FARDOS,PESO Lbs.,MES,AÑO
SEM 17,4/20/2026,D004510,USA HHR #1(FARDO),1973,FORTUNE RAGS,"L4,647.46",12,100,ABRIL,2026
SEM 18,4/27/2026,D004510,USA HHR #1(FARDO),810,FORTUNE RAGS,"L4,647.46",10,100,ABRIL,2026
SEM 18,4/27/2026,D106826,USA DECOR PILLOWS (FARDO),38,CLASSIC VINTAGE CO INC,L425.57,1,35,ABRIL,2026
SEM 18,4/27/2026,D106823,USA DECOR PILLOWS (FARDO),29,CLASSIC VINTAGE CO INC,L400.65,1,33,ABRIL,2026
SEM 18,4/27/2026,D106820,USA DECOR PILLOWS (FARDO),26,CLASSIC VINTAGE CO INC,L437.14,1,30,ABRIL,2026
SEM 18,4/27/2026,D106820,USA DECOR PILLOWS (FARDO),78,CLASSIC VINTAGE CO INC,L437.14,2,36,ABRIL,2026
SEM 17,4/25/2026,D106831,USA DECOR PILLOWS (FARDO),39,CLASSIC VINTAGE CO INC,L388.18,1,32,ABRIL,2026
SEM 17,4/25/2026,D106826,USA DECOR PILLOWS (FARDO),40,CLASSIC VINTAGE CO INC,L425.57,1,29,ABRIL,2026
SEM 17,4/25/2026,D106829,USA DECOR PILLOWS (FARDO),29,CLASSIC VINTAGE CO INC,L352.56,1,29,ABRIL,2026
SEM 17,4/25/2026,D106822,USA DECOR PILLOWS (FARDO),42,CLASSIC VINTAGE CO INC,L486.10,1,40,ABRIL,2026
SEM 17,4/25/2026,D106821,USA DECOR PILLOWS (FARDO),32,CLASSIC VINTAGE CO INC,L364.67,1,30,ABRIL,2026
SEM 17,4/22/2026,D001632,USA SABANA A (FARDO),52,JULIES TRADING,"L2,858.94",1,100,ABRIL,2026
SEM 17,4/22/2026,D106824,USA DECOR PILLOWS (FARDO),42,CLASSIC VINTAGE CO INC,L461.77,1,100,ABRIL,2026
SEM 17,4/22/2026,D106819,USA DECOR PILLOWS (FARDO),28,CLASSIC VINTAGE CO INC,L327.62,1,100,ABRIL,2026
SEM 17,4/22/2026,D106821,USA DECOR PILLOWS (FARDO),31,CLASSIC VINTAGE CO INC,L364.67,1,100,ABRIL,2026
