MES;FECHA;MOTIVO;CODIGO;PROVEEDOR;UND;COSTO;TOTAL;DIVISION;SEMANA
ABRIL;4/12/2026;DAÑADO ;C201884;YIWU LYFHON INTL TRADE CO LTD;4;$16.17;$64.68;HOGAR;SEM-16
ABRIL;4/12/2026;DAÑADO ;C202506;YIWU LYFHON INTL TRADE CO LTD;6;$16.28;$97.69;HOGAR;SEM-16
ABRIL;4/12/2026;DAÑADO ;C119676;YIWU LYFHON INTL TRADE CO LTD;3;$21.12;$63.35;HOGAR;SEM-16
ABRIL;4/12/2026;DAÑADO ;C152084;NOVA ZONA LIBRE, S.A.;17;$5.69;$96.71;HOGAR;SEM-16
ABRIL;4/12/2026;DAÑADO ;C160661;NOVA ZONA LIBRE, S.A.;9;$10.10;$90.92;HOGAR;SEM-16
ABRIL;4/12/2026;DAÑADO ;C185136;YIWU LYFHON INTL TRADE CO LTD;10;$14.73;$147.27;HOGAR;SEM-16
ABRIL;4/12/2026;DAÑADO ;C196889;YIWU LYFHON INTL TRADE CO LTD;5;$9.08;$45.40;HOGAR;SEM-16
ABRIL;4/12/2026;DAÑADO ;C196892;YIWU LYFHON INTL TRADE CO LTD;2;$36.80;$73.61;HOGAR;SEM-16
ABRIL;4/12/2026;DAÑADO ;C201636;YIWU LYFHON INTL TRADE CO LTD;1;$21.48;$21.48;HOGAR;SEM-16
ABRIL;4/12/2026;DAÑADO ;C201651;YIWU LYFHON INTL TRADE CO LTD;3;$6.91;$20.72;HOGAR;SEM-16
ABRIL;4/12/2026;DAÑADO ;C201677;YIWU LYFHON INTL TRADE CO LTD;1;$17.89;$17.89;HOGAR;SEM-16
ABRIL;4/12/2026;DAÑADO ;C202508;YIWU LYFHON INTL TRADE CO LTD;10;$16.28;$162.82;HOGAR;SEM-16
ABRIL;4/12/2026;DAÑADO ;C151118;YIWU LYFHON INTL TRADE CO LTD;1;$14.55;$14.55;HOGAR;SEM-16
ABRIL;4/12/2026;DAÑADO ;C151989;NEMO TRADERS SA;1;$12.59;$12.59;HOGAR;SEM-16
ABRIL;4/12/2026;DAÑADO ;C152081;NOVA ZONA LIBRE, S.A.;2;$16.41;$32.82;HOGAR;SEM-16
ABRIL;4/12/2026;DAÑADO ;C152084;NOVA ZONA LIBRE, S.A.;18;$5.69;$102.40;HOGAR;SEM-16
ABRIL;4/12/2026;DAÑADO ;C194803;YIWU LYFHON INTL TRADE CO LTD;1;$17.44;$17.44;HOGAR;SEM-16
ABRIL;4/12/2026;DAÑADO ;C196890;YIWU LYFHON INTL TRADE CO LTD;3;$36.80;$110.41;HOGAR;SEM-16
ABRIL;4/12/2026;DAÑADO ;C196907;YIWU LYFHON INTL TRADE CO LTD;6;$8.84;$53.04;HOGAR;SEM-16
ABRIL;4/12/2026;DAÑADO ;C201884;YIWU LYFHON INTL TRADE CO LTD;1;$16.17;$16.17;HOGAR;SEM-16
ABRIL;4/12/2026;DAÑADO ;C202169;YIWU LYFHON INTL TRADE CO LTD;4;$16.59;$66.34;HOGAR;SEM-16
ABRIL;4/12/2026;DAÑADO ;C202170;YIWU LYFHON INTL TRADE CO LTD;1;$16.59;$16.59;HOGAR;SEM-16
ABRIL;4/12/2026;DAÑADO ;C202507;YIWU LYFHON INTL TRADE CO LTD;4;$16.28;$65.13;HOGAR;SEM-16
