FECHA;MOTIVO;DIVISION;PROVEEDOR;CANTIDAD;COSTO POR UNIDAD;COSTO TOTAL;SEMANA;MES;AÑO
1/4/2026;ENTRADA;JUGUETERIA;SPARKLE TOYS COMPANY LYMITED;36;L36.04;L1,297.40;SEM-14;ABRIL;2026
2/4/2026;SALIDA;CUIDADO PERSONAL;YIWU LYFHON INTL TRADE CO LTD;48;L34.42;L1,652.02;SEM-14;ABRIL;2026
2/4/2026;ENTRADA;CUIDADO PERSONAL;YIWU LYFHON INTL TRADE CO LTD;48;L34.42;L1,652.05;SEM-14;ABRIL;2026
7/4/2026;SALIDA;ACCESORIO;YIWU LYFHON INTL TRADE CO LTD;158;L108.85;L17,198.20;SEM-15;ABRIL;2026
7/4/2026;ENTRADA;ACCESORIO;YIWU LYFHON INTL TRADE CO LTD;74;L108.85;L8,054.98;SEM-15;ABRIL;2026
7/4/2026;ENTRADA;ACCESORIO;YIWU LYFHON INTL TRADE CO LTD;39;L108.85;L4,245.12;SEM-15;ABRIL;2026
7/4/2026;ENTRADA;ACCESORIO;YIWU LYFHON INTL TRADE CO LTD;32;L108.85;L3,483.24;SEM-15;ABRIL;2026
7/4/2026;ENTRADA;ACCESORIO;YIWU LYFHON INTL TRADE CO LTD;13;L108.85;L1,415.04;SEM-15;ABRIL;2026
7/4/2026;SALIDA;MAQUILLAJE;YIWU LYFHON INTL TRADE CO LTD;144;L49.03;L7,060.72;SEM-15;ABRIL;2026
7/4/2026;ENTRADA;MAQUILLAJE;YIWU LYFHON INTL TRADE CO LTD;1728;L4.09;L7,060.72;SEM-15;ABRIL;2026
7/4/2026;ENTRADA;ACCESORIO;YIWU LYFHON INTL TRADE CO LTD;5;L108.85;L544.25;SEM-15;ABRIL;2026
7/4/2026;ENTRADA;HOGAR;YIWU LYFHON INTL TRADE CO LTD;34;L4.22;L143.59;SEM-15;ABRIL;2026
8/4/2026;SALIDA;TECNOLOGIA;YIWU LYFHON INTL TRADE CO LTD;234;L103.44;L24,204.94;SEM-15;ABRIL;2026
8/4/2026;ENTRADA;TECNOLOGIA;YIWU LYFHON INTL TRADE CO LTD;234;L103.44;L24,204.94;SEM-15;ABRIL;2026
9/4/2026;SALIDA;HOGAR;YIWU LYFHON INTL TRADE CO LTD;3;L373.27;L1,119.80;SEM-15;ABRIL;2026
