SEMANA;Fecha Registro;ProveedorNombre;Factura;DivisionNombre;Pais Nombre;Tipo Origen;Compañía;Suma de Cantidad;Suma de Importe Incluyendo Impuesto;Suma de CostoImportacionTotal;AÑO
14;1/4/2026;FORTUNE RAGS;5987;DS ROPA;Estados Unidos;Extranjero;DS;500;73750;2448195.99;2026
14;1/4/2026;GROUP LATAM CO.,LIMITED;LT26I01001-9;CALZADO;China;Extranjero;AEC;6570;32182.2;1067427.79;2026
14;1/4/2026;GROUP LATAM CO.,LIMITED;LT26I01001-9;CALZADO PLASTICO;China;Extranjero;AEC;2502;5014.8;166339.66;2026
14;1/4/2026;GROUP LATAM CO.,LIMITED;LT26I01001-9;ROPA;China;Extranjero;AEC;16383;50894.96;1688119.61;2026
14;1/4/2026;LEO MANNEQUINS LIMITED;LEO2012-25-3;MERCADERIA DE CONSUMO;China;Extranjero;AEC;14;870.63;28879.74;2026
14;1/4/2026;YIWU LYFHON INTL TRADE CO LTD;FVS2026-33;HOGAR;China;Extranjero;AEC;2520;23505.58;910708.69;2026
14;1/4/2026;YIWU LYFHON INTL TRADE CO LTD;FVS2026-34;HOGAR;China;Extranjero;AEC;2520;23505.58;910707.67;2026
14;1/4/2026;YIWU LYFHON INTL TRADE CO LTD;FVS2026-53;HOGAR;China;Extranjero;AEC;63881;28803.95;1035546.3;2026
14;1/4/2026;YIWU LYFHON INTL TRADE CO LTD;FVS2026-53;INTERIOR DETALLE;China;Extranjero;AEC;14616;5648.94;203085.59;2026
14;1/4/2026;YIWU LYFHON INTL TRADE CO LTD;FVS2026-53;MERCADERIA DE CONSUMO;China;Extranjero;AEC;1330;3592.87;129160.78;2026
14;1/4/2026;YIWU LYFHON INTL TRADE CO LTD;FVS2026-53;PASEO;China;Extranjero;AEC;240;4283.08;153983.91;2026
15;7/4/2026;APOLO ZONA LIBRE, S.A.;103547;ROPA;Panamá;Extranjero;AEC;4860;22398;696672.18;2026
15;7/4/2026;BIZZCUIT FASHION S.A;9799;ROPA;Panamá;Extranjero;AEC;4692;24895;774412.57;2026
15;7/4/2026;BODY GLOVE, S.A.;265;CALZADO;Panamá;Extranjero;AEC;144;865.64;26925.8;2026
15;7/4/2026;BODY GLOVE, S.A.;265;ROPA;Panamá;Extranjero;AEC;2064;9666.38;300699.37;2026
15;7/4/2026;DENIM DELUXE INDUSTRIES;20009412;ROPA;Panamá;Extranjero;AEC;1956;16611;518926.12;2026
